date_GMT,home_team_name,away_team_name,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,home_goal_0_9,home_goal_10_19,home_goal_20_29,home_goal_30_39,home_goal_40_49,home_goal_50_59,home_goal_60_69,home_goal_70_79,home_goal_80_89,home_goal_90_99,home_goal_100_plus,away_goal_0_9,away_goal_10_19,away_goal_20_29,away_goal_30_39,away_goal_40_49,away_goal_50_59,away_goal_60_69,away_goal_70_79,away_goal_80_89,away_goal_90_99,away_goal_100_plus,home_result,away_result,home_winrate_recent,away_winrate_recent,recent_count
2020-09-12 11:30:00,Fulham,Arsenal,0.0,0.0,0.53,1.74,0,3,3,1,0,1,2,3,2,0,2,0,1,1,1,1,6,14,3,6,3,8,6,8,45,55,0.0,0.0,0.93,1.64,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.0,4.55,1.53,1.24,1.74,2.9,5.4,1.8,1.87,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,lose,win,0.0,1.0,2
2020-09-12 14:00:00,Crystal Palace,Southampton,0.0,0.0,1.21,0.84,1,0,1,1,1,0,7,3,2,0,1,0,1,1,0,1,7,9,4,6,3,3,14,11,29,71,0.0,0.0,1.04,1.41,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.2,3.3,2.5,1.38,2.15,4.0,8.0,1.83,1.83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,lose,0.0,1.0,3
2020-09-12 16:30:00,Liverpool,Leeds United,0.0,0.0,1.74,1.58,4,3,7,5,3,2,9,0,1,0,0,0,0,1,0,0,23,7,7,4,16,3,9,6,48,52,0.0,0.0,2.46,0.96,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.33,6.1,8.75,1.16,1.53,2.35,4.05,1.8,1.87,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,win,lose,0.5,0.5,0
2020-09-12 19:00:00,West Ham United,Newcastle United,0.0,0.0,1.79,1.16,0,2,2,0,0,0,8,7,2,0,2,0,0,2,1,1,9,10,4,3,5,7,13,7,58,42,0.0,0.0,1.19,1.17,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.91,3.85,4.35,1.27,1.87,3.2,6.1,1.71,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,lose,win,0.3333333333333333,0.6666666666666667,3
2020-09-13 13:00:00,West Bromwich Albion,Leicester City,0.0,0.0,0.79,2.0,0,3,3,0,0,0,2,5,1,0,1,0,0,1,1,0,8,14,2,8,6,6,12,9,35,65,0.0,0.0,0.89,1.79,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.85,3.65,1.95,1.3,1.95,3.4,6.55,1.77,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,lose,win,0.0,1.0,3
2020-09-13 15:30:00,Tottenham Hotspur,Everton,0.0,0.0,1.74,1.95,0,1,1,0,0,0,5,3,1,0,0,0,0,1,0,0,7,12,6,5,1,7,15,7,51,49,0.0,0.0,1.31,1.34,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.15,3.35,3.7,1.33,2.05,3.65,7.0,1.77,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,lose,win,0.3333333333333333,0.6666666666666667,3
2020-09-14 17:00:00,Sheffield United,Wolverhampton Wanderers,0.0,0.0,0.84,1.05,0,2,2,2,0,2,12,5,2,0,1,0,2,0,0,1,8,10,3,5,5,5,13,7,55,45,0.0,0.0,1.42,1.2,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.3,2.95,2.5,1.65,3.0,6.4,13.75,2.35,1.51,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,lose,win,0.5,0.5,2
2020-09-14 19:15:00,Brighton & Hove Albion,Chelsea,0.0,0.0,1.11,1.79,1,3,4,1,0,1,4,3,1,0,0,0,0,1,0,0,10,8,4,6,6,2,8,13,52,48,0.0,0.0,1.27,1.13,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.9,4.3,1.56,1.24,1.74,2.9,5.4,1.8,1.87,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,lose,win,0.0,1.0,3
2020-09-19 11:30:00,Everton,West Bromwich Albion,0.0,0.0,1.16,0.58,5,2,7,3,2,1,11,1,1,0,0,1,1,0,1,0,13,6,8,5,5,1,9,11,71,29,0.0,0.0,1.92,0.94,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.53,4.5,6.85,1.27,1.87,3.2,6.1,1.95,1.74,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,win,lose,0.3333333333333333,0.6666666666666667,3
2020-09-19 14:00:00,Leeds United,Fulham,0.0,0.0,1.53,0.95,4,3,7,3,2,1,5,3,1,0,2,0,0,1,0,2,10,12,8,7,2,5,13,17,50,50,0.0,0.0,1.55,1.61,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.8,3.8,4.8,1.31,1.95,3.45,6.7,1.83,1.83,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,win,lose,0.5,0.5,0
