date_GMT,home_team_name,away_team_name,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,home_goal_0_9,home_goal_10_19,home_goal_20_29,home_goal_30_39,home_goal_40_49,home_goal_50_59,home_goal_60_69,home_goal_70_79,home_goal_80_89,home_goal_90_99,home_goal_100_plus,away_goal_0_9,away_goal_10_19,away_goal_20_29,away_goal_30_39,away_goal_40_49,away_goal_50_59,away_goal_60_69,away_goal_70_79,away_goal_80_89,away_goal_90_99,away_goal_100_plus,home_result,away_result,home_winrate_recent,away_winrate_recent,recent_count
2022-08-05 19:00:00,Crystal Palace,Arsenal,0.0,0.0,1.47,2.05,0,2,2,1,0,1,3,5,1,0,2,0,0,1,1,1,16,15,3,3,8,8,16,11,56,44,0.0,0.0,1.35,1.27,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.29,3.49,2.09,1.29,1.9,3.25,6.75,1.8,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,lose,win,0.3333333333333333,0.6666666666666667,3
2022-08-06 11:30:00,Fulham,Liverpool,0.0,0.0,1.53,1.21,2,2,4,1,1,0,4,4,2,0,0,0,1,1,0,0,14,16,4,4,6,8,7,9,33,67,0.0,0.0,1.23,1.5,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,9.05,5.4,1.34,1.15,1.66,2.43,4.1,1.91,1.91,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,draw,draw,0.3333333333333333,0.6666666666666667,3
2022-08-06 14:00:00,AFC Bournemouth,Aston Villa,0.0,0.0,1.16,1.21,2,0,2,1,1,0,5,5,3,0,3,0,2,1,2,1,8,15,4,2,2,8,18,16,34,66,0.0,0.0,0.8,1.08,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.1,3.53,2.3,1.35,1.95,3.66,7.5,1.8,1.95,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,win,lose,1.0,0.0,2
2022-08-06 14:00:00,Leeds United,Wolverhampton Wanderers,0.0,0.0,1.16,0.58,2,1,3,2,1,1,6,4,2,0,0,0,1,1,0,0,17,19,4,7,10,9,13,9,40,60,0.0,0.0,1.51,1.96,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.3,3.58,3.07,1.34,2.03,3.62,7.5,1.8,1.95,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,win,lose,0.3333333333333333,0.6666666666666667,3
2022-08-06 14:00:00,Newcastle United,Nottingham Forest,0.0,0.0,2.05,0.42,2,0,2,0,0,0,11,1,0,0,3,0,0,0,2,1,30,8,10,2,14,4,9,14,61,39,0.0,0.0,2.93,0.71,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.68,3.76,4.97,1.35,1.94,3.73,7.5,2.0,1.75,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,lose,0.5,0.5,0
2022-08-06 14:00:00,Tottenham Hotspur,Southampton,0.0,0.0,1.95,0.74,4,1,5,3,2,1,10,2,3,0,0,0,1,2,0,0,19,11,9,3,6,5,11,6,58,42,0.0,0.0,1.65,0.77,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.58,4.42,5.6,1.18,1.63,2.61,4.8,1.95,1.8,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,win,lose,0.3333333333333333,0.6666666666666667,3
2022-08-06 16:30:00,Everton,Chelsea,0.0,0.0,1.11,1.0,0,1,1,1,0,1,4,16,3,0,2,0,1,2,0,2,11,20,5,7,4,9,14,11,37,63,0.0,0.0,1.26,2.11,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.45,4.05,1.64,1.31,1.86,3.35,6.5,1.91,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,lose,win,0.3333333333333333,0.6666666666666667,3
2022-08-07 13:00:00,Leicester City,Brentford,0.0,0.0,1.0,1.16,2,2,4,1,1,0,5,6,0,0,0,0,0,0,0,0,17,12,3,5,12,5,6,5,55,45,0.0,0.0,1.42,1.14,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.95,3.6,3.6,1.26,1.79,3.05,6.0,1.67,2.1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,draw,draw,1.0,0.0,2
2022-08-07 13:00:00,Manchester United,Brighton & Hove Albion,0.0,0.0,2.53,1.47,1,2,3,2,0,2,6,2,4,0,1,0,2,2,0,1,22,20,6,5,12,11,7,12,63,37,0.0,0.0,2.01,1.67,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.62,4.2,5.25,1.34,1.91,3.6,7.0,1.95,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,lose,win,0.6666666666666666,0.33333333333333337,3
2022-08-07 15:30:00,West Ham United,Manchester City,0.0,0.0,1.47,1.95,0,2,2,1,0,1,1,4,0,0,1,0,0,0,1,0,9,19,2,3,5,12,8,4,25,75,0.0,0.0,0.72,1.59,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.5,5.25,1.36,1.17,1.68,2.38,4.5,1.8,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,lose,win,0.0,1.0,3
